@relation tce_half-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42

@attribute tce_period numeric
@attribute tce_time0bk numeric
@attribute tce_ror numeric
@attribute tce_dor numeric
@attribute tce_incl numeric
@attribute tce_impact numeric
@attribute tce_duration numeric
@attribute tce_ingress numeric
@attribute tce_depth numeric
@attribute tce_ldm_coeff1 numeric
@attribute tce_ldm_coeff2 numeric
@attribute tce_ldm_coeff3 numeric
@attribute tce_ldm_coeff4 numeric
@attribute tce_num_transits numeric
@attribute tce_full_conv numeric
@attribute tce_model_snr numeric
@attribute tce_model_chisq numeric
@attribute tce_model_dof numeric
@attribute tce_robstat numeric
@attribute tce_dof1 numeric
@attribute tce_dof2 numeric
@attribute tce_chisq1 numeric
@attribute tce_chisq2 numeric
@attribute tce_prad numeric
@attribute tce_sma numeric
@attribute tce_eqt numeric
@attribute tce_nkoi numeric
@attribute tce_steff numeric
@attribute tce_slogg numeric
@attribute tce_smet numeric
@attribute tce_sradius numeric
@attribute tce_max_sngle_ev numeric
@attribute tce_max_mult_ev numeric
@attribute tce_minmes numeric
@attribute tce_mesmad numeric
@attribute tce_bin_oedp_stat numeric
@attribute tce_rmesmad numeric
@attribute tce_rsnrmes numeric
@attribute tce_rminmes numeric
@attribute tce_fwm_stat numeric
@attribute tce_fwm_sra numeric
@attribute tce_fwm_sdec numeric
@attribute tce_fwm_srao numeric
@attribute tce_fwm_sdeco numeric
@attribute tce_fwm_prao numeric
@attribute tce_fwm_pdeco numeric
@attribute tce_dicco_mra numeric
@attribute tce_dicco_mdec numeric
@attribute tce_dicco_msky numeric
@attribute tce_dikco_mra numeric
@attribute tce_dikco_mdec numeric
@attribute tce_dikco_msky numeric
@attribute av_training_set {PC,AFP,NTP}

@data
2.23523,131.73,0.011087,2.783057,87.31,0.1304,6.152,0.06861,142.9,0.371585,0.857146,-0.866272,0.307739,601,1,7.078,23210,31370,15.94,7579,582,72810,2614,2.048,0.03802,2080,0,7056,4.15,-0.04,1.693,193.3,11.65,-12.88,7.793,0.008666,1.495,0.6073,1.105,32.827,19.802353,42.531769,-0.8383,-0.1465,0.000146,0.000029,-0.051165,0.007612,0.051728,-0.14312,-0.077474,0.16274,NTP
1.70244,131.726,0.009996,2.037932,75.8,0.5,5.6,0.07366,111.4,0.279018,1.011497,-0.939758,0.321007,791,1,11.8,28600,40630,15.69,9932,763,23460,3770,2.015,0.03016,2270,0,6582,4.01,-0.24,1.847,205.3,8.672,-10.25,7.673,0.000001,1.13,1.36,1.182,46.447,19.046222,38.581703,0.01996,1.007,0.000004,-0.000106,0.036729,-0.006967,0.037384,0.12702,0.035275,0.13183,NTP
1.34557,131.62,0.005683,2.557328,74.62,0.6782,2.985,0.03108,33.85,0.345826,0.872412,-0.826401,0.284205,995,1,9.834,26170,31990,9.802,12740,979,8912,1372,1.036,0.02655,2370,0,6770,4.13,-0.08,1.67,4.627,10.43,-9.005,2.423,2.903,4.306,0.9426,0.8632,19.162,19.968544,41.330536,2.984,1.1,-0.000089,-0.000039,0.005203,-0.049923,0.050194,0.015353,-0.19884,0.19943,NTP
0.590527,132.063,0.017417,1.540747,63.18,0.6952,2.175,0.07095,315,0.363006,0.848879,-0.824317,0.285756,1813,1,16.62,18650,21800,21.77,19160,1473,31730,2906,2.824,0.01535,3010,0,6927,4.24,-0.04,1.486,4.928,13.15,-12.28,7.666,0,1.715,1.264,0.9339,109.94,19.895167,41.743348,-0.4123,0.2823,0.00012,-0.000084,-0.088487,0.022334,0.091262,-0.1002,0.070064,0.12226,NTP
3.2822,132.519,0.004628,1.306821,46.28,0.9033,8.438,0.207,18.27,0.409922,0.50096,-0.193213,0.000872,412,1,6.501,26730,32380,20.5,5239,402,9298,2433,0.6783,0.04431,1470,0,6064,4.21,-0.04,1.343,5.221,9.418,-8.013,2.884,5.607,3.265,0.6903,0.8508,4.3107,19.8939,41.081315,-1.855,-1.099,0.000046,0.000017,-0.20362,-0.011056,0.20392,-0.19418,-0.10795,0.22217,NTP
0.567246,131.57,0.012495,1.003232,14.06,0.9732,1.207,0.2345,113.6,0.443728,0.360164,-0.137349,-0.011017,844,1,7.933,10950,11700,8.936,7826,601,12790,1153,4.471,0.017,4950,0,8079,3.71,-0.12,3.279,4.958,7.1,-5.131,2.25,0,3.156,1.117,0.7227,8.0479,19.599615,38.305957,0.004215,0.2766,0.000007,-0.000022,0.1425,0.57665,0.59399,-0.010141,0.69878,0.69886,NTP
308.113,258.485,0.025722,325.74283,89.91,0.4998,6.473,0.2146,761.8,0.62416,-0.298776,0.878956,-0.420605,5,1,5.701,241,180.5,11.47,39,2,7.442,2.329,2.616,0.9032,252,1,5618,4.51,0.26,0.932,8.979,7.6,-4.593,0.6811,5.25,11.16,0.7502,0.6044,12.201,19.107326,42.064071,1.352,3.027,-0.000635,-0.002235,1.7592,1.5098,2.3183,1.8314,1.4803,2.3549,NTP
459.272,260.301,0.040105,1083.0527,89.98,0.3987,3.112,0.1417,1868,0.455154,0.271303,0.158637,-0.15059,3,1,7.446,263.1,62.03,14.97,39,2,359.9,18.35,3.917,1.159,226,0,5841,4.53,-0.1,0.895,29.97,10.31,-3.477,0.6089,0,16.94,0.7221,0.3372,10.317,19.361981,39.982771,-1.274,1.445,0.00262,-0.002818,0,0,0,0,0,0,NTP
2.83265,134.25,0.004456,1.166452,51.27,0.7299,12.8,0.1209,20.33,0.331339,0.834081,-0.705022,0.221115,480,1,7.084,33160,39970,13.93,6019,462,8454,1982,0.5636,0.04142,1520,0,6517,4.38,-0.14,1.159,4.895,7.727,-5.896,2.932,0,2.636,0.9168,0.763,0.28589,19.099682,39.579263,-0.4923,0.1905,-0.000005,-0.000006,-0.58247,-0.63135,0.85899,-0.52821,-0.58162,0.78568,NTP
0.566819,131.791,0.005772,1.63434,64.63,0.7002,1.913,0.02142,34.73,0.67094,-0.591662,1.277378,-0.540454,2363,1,11.69,35610,43320,12.1,30210,2323,118600,3855,0.5599,0.01258,1900,0,5110,4.46,0.2,0.889,12.21,8.789,-2.228,1.316,0.00374,6.678,1.33,0.2535,77.776,19.447143,42.690169,-4.647,-1.082,0.000162,0.000041,-1.8074,-0.16283,1.8147,-1.8111,-0.1102,1.8144,NTP
0.566729,131.905,0.002371,1.018459,26.33,0.9128,1.761,0.02467,4.724,0.391743,0.591173,-0.33467,0.063022,2361,1,5.266,35920,42690,9.144,30190,2321,32690,3506,0.3769,0.01392,2780,0,6158,4.16,-0.04,1.457,7.497,8.231,-2.418,0.572,0.002511,14.39,0.6398,0.2937,-1,0,0,0,0,0,0,-1.6529,1.5714,2.2806,-1.5667,1.4758,2.1523,NTP
