algo,samples,attrs,split,accuracy
modlem,all,all,25,84.321959755
random-forest,all,all,25,90.0437445319
modlem-bagging,half,no_pix,25,74.5448179272
modlem,all,no_pix,25,72.5984251969
modlem-boosting,half,no_pix,50,78.4776902887
random-modlem,all,all,25,84.1819772528
modlem-boosting,half,all,75,88.4332281809
modlem-boosting,all,no_pix,25,78.3552055993
random-forest,half,no_pix,25,79.9719887955
modlem-boosting,all,no_pix,75,81.7847769029
modlem,all,all,50,86.1679790026
modlem,half,no_pix,50,74.0682414698
modlem,half,all,75,84.4374342797
modlem,half,all,25,79.1666666667
random-modlem,all,all,75,88.5564304462
random-modlem,all,no_pix,50,77.6377952756
modlem-boosting,all,all,25,88.0489938758
modlem-bagging,half,all,50,85.3018372703
modlem-bagging,half,all,25,82.2829131653
random-modlem,half,no_pix,25,75.1050420168
modlem-bagging,all,no_pix,25,75.3280839895
modlem,half,no_pix,75,75.0788643533
modlem,half,all,50,83.2020997375
modlem-boosting,all,all,50,88.9501312336
modlem-bagging,all,no_pix,75,77.9002624672
random-forest,half,all,75,90.2208201893
modlem-bagging,all,all,50,88.2677165354
modlem-boosting,half,no_pix,25,77.2759103641
modlem-bagging,all,all,75,89.8687664042
modlem,half,no_pix,25,73.0392156863
random-forest,half,all,50,88.8713910761
random-forest,all,all,75,91.3910761155
random-modlem,half,no_pix,75,77.0767613039
modlem,all,no_pix,50,75.0656167979
modlem-bagging,all,no_pix,50,76.4041994751
random-forest,half,no_pix,75,80.967402734
random-modlem,half,all,50,84.1469816273
random-forest,half,no_pix,50,81.8372703412
random-modlem,half,all,75,84.5425867508
random-modlem,half,no_pix,50,76.7979002625
modlem-boosting,half,all,25,83.718487395
random-modlem,all,no_pix,25,75.5380577428
random-forest,all,no_pix,50,82.4146981627
modlem,all,all,75,88.3464566929
modlem-bagging,all,all,25,86.5091863517
modlem-boosting,half,all,50,86.8766404199
modlem,all,no_pix,75,76.9553805774
modlem-boosting,all,no_pix,50,79.6062992126
random-forest,all,no_pix,25,80.4199475066
random-forest,half,all,25,87.0448179272
modlem-boosting,all,all,75,90.2887139108
random-forest,all,all,50,90.3937007874
random-modlem,half,all,25,80.9523809524
modlem-boosting,half,no_pix,75,80.6519453207
random-modlem,all,all,50,87.532808399
modlem-bagging,half,no_pix,50,76.2729658793
modlem-bagging,half,all,75,86.5404837014
random-modlem,all,no_pix,75,79.6325459318
modlem-bagging,half,no_pix,75,76.8664563617
random-forest,all,no_pix,75,82.782152231
modlem-boosting,half,all,25,83.6134453782
random-modlem,all,no_pix,75,79.3700787402
random-modlem,half,all,50,83.3070866142
random-modlem,all,all,25,83.3420822397
modlem-bagging,all,all,75,89.8687664042
random-forest,half,no_pix,50,81.7322834646
random-forest,half,no_pix,25,79.0966386555
random-forest,all,no_pix,25,80.4199475066
modlem-bagging,half,no_pix,50,76.3254593176
modlem-boosting,half,no_pix,25,77.0658263305
random-modlem,all,all,75,88.6089238845
modlem-bagging,all,no_pix,50,76.6141732283
modlem-boosting,half,no_pix,75,77.4973711882
modlem,all,no_pix,75,76.9553805774
