rowid,kepid,tce_plnt_num,tce_delivname,rowupdate,tce_datalink_dvs,tce_datalink_dvr,tce_period,tce_time0bk,tce_time0,tce_ror,tce_dor,tce_incl,tce_impact,tce_duration,tce_ingress,tce_depth,tce_eccen,tce_longp,tce_limbdark_mod,tce_ldm_coeff1,tce_ldm_coeff2,tce_ldm_coeff3,tce_ldm_coeff4,tce_num_transits,tce_trans_mod,tce_full_conv,tce_model_snr,tce_model_chisq,tce_model_dof,tce_robstat,tce_dof1,tce_dof2,tce_chisq1,tce_chisq2,tce_prad,tce_sma,tce_eqt,tce_nkoi,tce_ioflag,tce_quarters,tce_steff,tce_slogg,tce_smet,tce_sradius,tce_steff_prov,tce_slogg_prov,tce_smet_prov,tce_sradius_prov,tce_max_sngle_ev,tce_max_mult_ev,tce_minmes,tce_mesmad,tce_bin_oedp_stat,tce_rmesmad,tce_rsnrmes,tce_rminmes,tce_fwm_stat,tce_fwm_sra,tce_fwm_sdec,tce_fwm_srao,tce_fwm_sdeco,tce_fwm_prao,tce_fwm_pdeco,tce_dicco_mra,tce_dicco_mdec,tce_dicco_msky,tce_dicco_fra,tce_dicco_fdec,tce_dicco_fsky,tce_dikco_mra,tce_dikco_mdec,tce_dikco_msky,tce_dikco_fra,tce_dikco_fdec,tce_dikco_fsky,av_vf_pc,av_vf_afp,av_vf_ntp,av_pp_pc,av_pp_afp,av_pp_ntp,av_training_set,av_pred_class,boot_fap,boot_mesthresh,boot_mesmean,boot_messtd
7,892667,1,q1_q17_dr24_tce,15-JAN-2015,000/000892/000892667/dv/kplr000892667-001-20141002224145_dvs.pdf,000/000892/000892667/dv/kplr000892667-20141002224145_dvr.pdf,2.262110,132.171,2.45497e+06,5.04587020000e-03,2.2076606,82.190,3.0000000e-01,7.5090,4.1410000e-02,2.9410000e+01,0,0,claret_nonlinear_limb_darkening_model_2011,0.2752972,1.0216995,-0.9528764,0.3250118,599,mandel-agol_geometric_transit_model,1,9.2390000e+00,3.389e+04,4.125e+04,1.435e+01,7.618e+03,585,1.227e+04,1.70800e+03,0.9107000,0.036540,1.96e+03,0,,11111111111111111000000000000000,6609.00,4.11,-0.260,1.654,PHO1,KIC0,KIC0,DSEP,6.832e+00,8.037e+00,-2.9160e+00,1.39500,1.0630000e-03,5.7610e+00,1.1500000e+00,3.6290000e-01,6.28660000e+00,19.408488,36.621451,1.1850000e+00,-1.4730000e+00,-4.2390000e-05,1.6500000e-05,2.76870000e-01,3.03870000e-01,4.11080000e-01,0,0,0,1.39510000e-01,1.15410000e-01,0.1810600,0,0,0,0.0253,1.0272,98.9475,0.0000,0.9968,99.0032,NTP,NTP,1.66588485940000e-11,8.62019300e+00,-1.2006560000e-01,1.23003300e+00
24,1292087,1,q1_q17_dr24_tce,15-JAN-2015,001/001292/001292087/dv/kplr001292087-001-20141002224145_dvs.pdf,001/001292/001292087/dv/kplr001292087-20141002224145_dvr.pdf,0.547626,131.888,2.45496e+06,3.53022090000e-03,2.7147139,81.190,4.1560000e-01,1.4080,5.9810000e-03,1.4140000e+01,0,0,claret_nonlinear_limb_darkening_model_2011,0.3605912,0.7376160,-0.5678580,0.1660276,2438,mandel-agol_geometric_transit_model,1,5.2180000e+00,3.697e+04,4.512e+04,1.111e+01,3.128e+04,2405,4.267e+04,3.96000e+03,0.5786000,0.013780,2.91e+03,0,,11111111111111111000000000000000,6328.00,4.15,-0.080,1.502,PHO1,KIC0,KIC0,DSEP,7.186e+00,8.113e+00,-3.3860e+00,1.55600,5.9340000e+00,5.2140e+00,6.4310000e-01,4.1730000e-01,9.73350000e+00,19.383311,36.961299,5.1920000e-01,-3.8900000e+00,-7.6120000e-06,5.8820000e-05,1.05350000e-01,1.19140000e-01,1.59040000e-01,0,0,0,2.05660000e-01,8.92300000e-02,0.2241800,0,0,0,1.1626,10.2165,88.6209,0.1333,2.3102,97.5565,NTP,NTP,1.12517344870000e-11,8.62400300e+00,-8.6714010000e-02,1.22536000e+00
26,1574792,1,q1_q17_dr24_tce,15-JAN-2015,001/001574/001574792/dv/kplr001574792-001-20141002224145_dvs.pdf,001/001574/001574792/dv/kplr001574792-20141002224145_dvr.pdf,1.391750,131.572,2.45496e+06,4.45846730000e-03,2.7668711,79.430,5.0770000e-01,3.3300,1.9890000e-02,2.2040000e+01,0,0,claret_nonlinear_limb_darkening_model_2011,0.2997482,1.0004690,-0.9746080,0.3426902,964,mandel-agol_geometric_transit_model,1,8.1240000e+00,3.207e+04,3.982e+04,1.206e+01,1.234e+04,948,2.476e+04,2.87700e+03,0.8991000,0.027260,2.47e+03,0,,11111111111111111000000000000000,6793.00,4.05,-0.180,1.848,PHO1,KIC0,KIC0,DSEP,6.389e+00,9.246e+00,-2.8580e+00,1.43000,1.5870000e+00,6.4650e+00,8.7860000e-01,3.0910000e-01,1.06250000e+01,19.446337,37.173550,-1.1760000e+00,-6.8570000e-01,3.6600000e-05,2.4030000e-05,5.20240000e-02,2.70060000e-01,2.75020000e-01,0,0,0,1.18790000e-01,2.96830000e-01,0.3197200,0,0,0,1.6560,8.0186,90.3254,0.1149,1.8953,97.9898,NTP,NTP,3.22128070940000e-16,8.12363900e+00,-5.7668750000e-02,1.15138200e+00
29,1865567,1,q1_q17_dr24_tce,15-JAN-2015,001/001865/001865567/dv/kplr001865567-001-20141002224145_dvs.pdf,001/001865/001865567/dv/kplr001865567-20141002224145_dvr.pdf,0.674634,131.702,2.45496e+06,2.29436640000e-03,1.0523836,31.220,9.0000000e-01,2.1600,2.5780000e-02,4.7700000e+00,0,0,claret_nonlinear_limb_darkening_model_2011,0.5992846,0.0210222,-0.0159716,-0.0054406,1986,mandel-agol_geometric_transit_model,1,1.0120000e+01,3.327e+04,4.088e+04,2.118e+01,2.543e+04,1955,3.485e+04,4.01700e+03,0.5050000,0.020040,4.42e+03,0,,11111111111111111000000000000000,9990.00,4.20,0.070,2.017,KIC0,KIC0,KIC0,DSEP,2.000e+01,1.911e+01,-9.7570e+00,4.45900,9.5200000e-08,4.2850e+00,5.2970000e-01,5.1070000e-01,-1.00000000e+00,0.000000,0.000000,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.35230000e-02,1.60620000e-01,1.81040000e-01,0,0,0,1.91810000e-01,2.46790000e-01,0.3125600,0,0,0,0.1853,8.5581,91.2567,0.0000,1.9703,98.0297,NTP,NTP,4.59013859600000e-67,6.78576200e+00,-1.8029670000e+00,1.21132100e+00
32,2019227,1,q1_q17_dr24_tce,15-JAN-2015,002/002019/002019227/dv/kplr002019227-001-20141002224145_dvs.pdf,002/002019/002019227/dv/kplr002019227-20141002224145_dvr.pdf,2.980320,132.415,2.45497e+06,5.14675550000e-03,1.2753135,45.180,8.9890000e-01,8.0300,2.0970000e-01,2.3090000e+01,0,0,claret_nonlinear_limb_darkening_model_2011,0.3286368,0.8250072,-0.6731296,0.2065240,453,mandel-agol_geometric_transit_model,1,8.9740000e+00,2.680e+04,3.281e+04,1.883e+01,5.772e+03,443,1.068e+04,2.47300e+03,0.8020000,0.042860,1.63e+03,0,,11111111111111111000000000000000,6404.00,4.20,-0.160,1.428,PHO1,KIC0,KIC0,DSEP,6.600e+00,8.149e+00,-7.9010e+00,2.09900,3.3100000e-04,3.8830e+00,1.1010000e+00,9.6960000e-01,1.11360000e+01,19.499498,37.404044,-3.4870000e-01,1.0570000e+00,4.4070000e-06,-3.0450000e-05,-1.83070000e-01,-8.33570000e-01,8.53430000e-01,0,0,0,-7.14590000e-02,-1.23570000e+00,1.2377000,0,0,0,0.1160,1.9554,97.9286,0.0000,1.1220,98.8780,NTP,NTP,4.55558931410000e-11,8.89463400e+00,4.1513410000e-01,1.19333200e+00
35,2167600,1,q1_q17_dr24_tce,15-JAN-2015,002/002167/002167600/dv/kplr002167600-001-20141002224145_dvs.pdf,002/002167/002167600/dv/kplr002167600-20141002224145_dvr.pdf,1.691460,132.463,2.45497e+06,1.29402220000e-02,1.0256693,13.500,9.9730000e-01,2.2320,2.2330000e+00,6.0830000e+01,0,0,claret_nonlinear_limb_darkening_model_2011,0.3281808,0.8461640,-0.7177020,0.2283484,794,mandel-agol_geometric_transit_model,1,1.3290000e+01,3.277e+04,4.097e+04,1.848e+01,1.008e+04,774,1.570e+04,2.56300e+03,2.1350000,0.029350,2.04e+03,0,,11111111111111111000000000000000,6452.00,4.15,-0.140,1.512,PHO1,KIC0,KIC0,DSEP,4.206e+00,1.172e+01,-8.5150e+00,4.94700,2.4570000e+00,2.3690e+00,1.1340000e+00,7.2660000e-01,1.41870000e+01,19.535393,37.576534,-1.0020000e-01,9.1560000e-01,1.6200000e-06,-5.3090000e-05,4.08320000e-01,-6.24660000e-02,4.13070000e-01,0,0,0,3.95230000e-01,-4.19350000e-03,0.3952600,0,0,0,0.4235,7.0908,92.4857,0.0058,1.7024,98.2917,NTP,NTP,2.83768647350000e-24,7.79023000e+00,-1.5013630000e+00,1.30936100e+00
55,2693097,1,q1_q17_dr24_tce,15-JAN-2015,002/002693/002693097/dv/kplr002693097-001-20141002224145_dvs.pdf,002/002693/002693097/dv/kplr002693097-20141002224145_dvr.pdf,1.413520,132.125,2.45497e+06,7.09774350000e-03,1.9632755,75.380,4.9550000e-01,4.8220,4.4940000e-02,5.5950000e+01,0,0,claret_nonlinear_limb_darkening_model_2011,0.4399048,0.7060550,-0.7046368,0.2449562,951,mandel-agol_geometric_transit_model,1,7.0390000e+00,3.496e+04,4.236e+04,2.452e+01,1.214e+04,933,3.974e+04,1.01500e+04,1.2940000,0.028500,2.38e+03,0,,11111111111111111000000000000000,7032.00,4.18,0.180,1.671,PHO1,KIC0,KIC0,DSEP,7.793e+00,1.049e+01,-5.5290e+00,1.64800,1.6640000e-01,6.3620e+00,6.7130000e-01,5.2730000e-01,1.66530000e+00,19.060441,37.964223,2.1570000e-01,-6.0860000e-02,-1.3110000e-05,-2.1560000e-05,-1.54940000e-01,-2.93670000e-02,1.57700000e-01,0,0,0,-1.51740000e-01,-9.22360000e-02,0.1775800,0,0,0,0.0769,7.4623,92.4608,0.0000,1.7702,98.2298,NTP,NTP,1.23892911250000e-08,1.34460800e+01,-3.2011940000e-01,1.93853900e+00
56,2693097,2,q1_q17_dr24_tce,15-JAN-2015,002/002693/002693097/dv/kplr002693097-002-20141002224145_dvs.pdf,002/002693/002693097/dv/kplr002693097-20141002224145_dvr.pdf,4.240470,132.840,2.45497e+06,1.25771090000e-02,3.2303150,77.440,7.0260000e-01,7.3120,1.7720000e-01,1.6410000e+02,0,0,claret_nonlinear_limb_darkening_model_2011,0.4399048,0.7060550,-0.7046368,0.2449562,320,mandel-agol_geometric_transit_model,1,1.2400000e+01,9.288e+03,1.092e+04,4.237e+01,4.056e+03,311,1.164e+04,6.89300e+03,2.2930000,0.059290,1.65e+03,0,,11111111111111111000000000000000,7032.00,4.18,0.180,1.671,PHO1,KIC0,KIC0,DSEP,4.277e+00,1.369e+01,-7.1990e+00,3.29700,1.2840000e+00,4.1510e+00,9.0560000e-01,5.2590000e-01,3.45690000e+01,19.060413,37.964066,-9.6940000e-01,-6.2550000e-01,1.5600000e-04,2.9430000e-05,2.07570000e-01,-5.73580000e-02,2.15350000e-01,0,0,0,2.14630000e-01,-1.21730000e-01,0.2467500,0,0,0,0.4524,9.0978,90.4497,0.0125,2.0740,97.9135,NTP,NTP,1.20254107110000e-11,1.45523700e+01,-4.5871320000e-02,2.05632700e+00
57,2693097,3,q1_q17_dr24_tce,15-JAN-2015,002/002693/002693097/dv/kplr002693097-003-20141002224145_dvs.pdf,002/002693/002693097/dv/kplr002693097-20141002224145_dvr.pdf,2.827070,132.827,2.45497e+06,1.09903930000e-02,1.7399753,65.440,7.2330000e-01,8.7680,1.9750000e-01,1.2400000e+02,0,0,claret_nonlinear_limb_darkening_model_2011,0.4399048,0.7060550,-0.7046368,0.2449562,322,mandel-agol_geometric_transit_model,1,1.0320000e+01,1.033e+04,1.100e+04,3.481e+01,4.056e+03,311,1.572e+04,8.85000e+03,2.0040000,0.045250,1.89e+03,0,,11111111111111111000000000000000,7032.00,4.18,0.180,1.671,PHO1,KIC0,KIC0,DSEP,6.513e+00,1.072e+01,-5.9930e+00,3.58800,3.5760000e-02,2.9870e+00,9.6290000e-01,5.5930000e-01,4.18340000e+01,19.060457,37.964251,8.8270000e-01,3.8200000e-02,-1.1180000e-04,-6.0080000e-05,9.43800000e-02,3.71790000e-02,1.01440000e-01,0,0,0,8.49320000e-02,-5.06210000e-03,0.0850820,0,0,0,0.0890,5.7103,94.2007,0.0000,1.4030,98.5970,NTP,NTP,1.07858321950000e-07,1.46814300e+01,-2.3871080000e-02,2.07087800e+00
65,2722074,1,q1_q17_dr24_tce,15-JAN-2015,002/002722/002722074/dv/kplr002722074-001-20141002224145_dvs.pdf,002/002722/002722074/dv/kplr002722074-20141002224145_dvr.pdf,1.938590,131.790,2.45496e+06,5.99429880000e-03,2.0126397,82.830,2.5120000e-01,7.1680,4.5570000e-02,4.1900000e+01,0,0,claret_nonlinear_limb_darkening_model_2011,0.2449384,1.0184757,-0.8697328,0.2752792,690,mandel-agol_geometric_transit_model,1,1.0720000e+01,3.237e+04,3.892e+04,1.355e+01,8.697e+03,668,1.167e+04,1.99700e+03,0.6293000,0.030580,1.57e+03,0,,11111111111111111000000000000000,6347.00,4.48,-0.440,0.962,PHO1,KIC0,KIC0,DSEP,4.486e+00,9.991e+00,-8.1960e+00,2.55500,1.0690000e+00,3.9100e+00,1.0730000e+00,8.2040000e-01,2.62600000e+01,19.560387,37.930615,1.8810000e+00,1.2770000e+00,-7.1080000e-05,-7.9870000e-05,1.46140000e-02,1.01170000e-01,1.02220000e-01,0,0,0,6.54250000e-02,1.30540000e-01,0.1460100,0,0,0,0.4688,10.8132,88.7180,0.0207,2.4326,97.5466,NTP,NTP,2.00659928430000e-18,8.15228400e+00,-1.2246070000e-01,1.16531800e+00
