rowid,kepid,tce_plnt_num,tce_delivname,rowupdate,tce_datalink_dvs,tce_datalink_dvr,tce_period,tce_time0bk,tce_time0,tce_ror,tce_dor,tce_incl,tce_impact,tce_duration,tce_ingress,tce_depth,tce_eccen,tce_longp,tce_limbdark_mod,tce_ldm_coeff1,tce_ldm_coeff2,tce_ldm_coeff3,tce_ldm_coeff4,tce_num_transits,tce_trans_mod,tce_full_conv,tce_model_snr,tce_model_chisq,tce_model_dof,tce_robstat,tce_dof1,tce_dof2,tce_chisq1,tce_chisq2,tce_prad,tce_sma,tce_eqt,tce_nkoi,tce_ioflag,tce_quarters,tce_steff,tce_slogg,tce_smet,tce_sradius,tce_steff_prov,tce_slogg_prov,tce_smet_prov,tce_sradius_prov,tce_max_sngle_ev,tce_max_mult_ev,tce_minmes,tce_mesmad,tce_bin_oedp_stat,tce_rmesmad,tce_rsnrmes,tce_rminmes,tce_fwm_stat,tce_fwm_sra,tce_fwm_sdec,tce_fwm_srao,tce_fwm_sdeco,tce_fwm_prao,tce_fwm_pdeco,tce_dicco_mra,tce_dicco_mdec,tce_dicco_msky,tce_dicco_fra,tce_dicco_fdec,tce_dicco_fsky,tce_dikco_mra,tce_dikco_mdec,tce_dikco_msky,tce_dikco_fra,tce_dikco_fdec,tce_dikco_fsky,av_vf_pc,av_vf_afp,av_vf_ntp,av_pp_pc,av_pp_afp,av_pp_ntp,av_training_set,av_pred_class,boot_fap,boot_mesthresh,boot_mesmean,boot_messtd
6,757450,1,q1_q17_dr24_tce,15-JAN-2015,000/000757/000757450/dv/kplr000757450-001-20141002224145_dvs.pdf,000/000757/000757450/dv/kplr000757450-20141002224145_dvr.pdf,8.884920,134.452,2.45497e+06,1.14895220000e-01,36.3778310,89.910,5.6770000e-02,2.0780,2.1470000e-01,1.6310000e+04,0,0,claret_nonlinear_limb_darkening_model_2011,0.5702584,-0.2570312,0.9047128,-0.4371792,153,mandel-agol_geometric_transit_model,1,4.7330000e+02,2.783e+03,3.032e+03,5.480e+02,1.937e+03,148,2.884e+04,1.40500e+03,10.5700000,0.078590,7.70e+02,1,,11111111111111111000000000000000,5332.00,4.50,-0.080,0.843,SPE51,TRA51,SPE51,DSEP,1.130e+02,5.240e+02,-3.0850e+00,0.70400,3.8250000e-02,7.4440e+02,9.0320000e-01,5.8870000e-03,5.28610000e+02,19.409176,36.576875,1.5890000e-01,-1.8190000e+00,-2.4900000e-03,-4.2040000e-03,4.51880000e-03,7.22210000e-02,7.23620000e-02,0,0,0,6.95810000e-02,-1.03820000e-01,0.1249800,0,0,0,80.2546,19.2652,0.4803,87.1409,10.6668,2.1923,PC,PC,0.00000000000000e+00,8.06050900e+00,-1.7292870000e-01,1.15845800e+00
20,1161345,1,q1_q17_dr24_tce,15-JAN-2015,001/001161/001161345/dv/kplr001161345-001-20141002224145_dvs.pdf,001/001161/001161345/dv/kplr001161345-20141002224145_dvr.pdf,4.287580,133.434,2.45497e+06,2.95278700000e-02,22.0469430,88.160,7.0640000e-01,1.1130,6.1980000e-02,8.9070000e+02,0,0,claret_nonlinear_limb_darkening_model_2011,0.6326184,-0.4397438,1.1032184,-0.4978238,313,mandel-agol_geometric_transit_model,1,1.3790000e+02,1.026e+04,6.521e+03,1.914e+02,4.017e+03,308,2.650e+04,1.42500e+04,2.6160000,0.050100,9.40e+02,1,,11111111111111111000000000000000,5295.00,4.58,0.120,0.812,SPE59,SPE59,SPE59,DSEP,2.741e+01,1.369e+02,-3.4020e+00,0.81440,2.8830000e+00,1.6810e+02,1.0070000e+00,2.4840000e-02,8.44390000e+01,19.403245,36.839877,-3.4040000e-01,-1.1880000e-02,2.6270000e-04,1.8220000e-04,-6.08520000e-01,-4.48280000e-01,7.55810000e-01,0,0,0,-7.45250000e-01,-3.23000000e-01,0.8122400,0,0,0,40.6414,52.8551,6.5035,31.4519,51.3167,17.2313,PC,AFP,0.00000000000000e+00,1.01226600e+01,-1.1828610000e+00,1.58590400e+00
34,2019477,1,q1_q17_dr24_tce,15-JAN-2015,002/002019/002019477/dv/kplr002019477-001-20141002224145_dvs.pdf,002/002019/002019477/dv/kplr002019477-20141002224145_dvr.pdf,27.248100,131.912,2.45496e+06,8.22596360000e-03,19.4966220,89.990,4.8530000e-03,10.7600,8.7830000e-02,8.2340000e+01,0,0,claret_nonlinear_limb_darkening_model_2011,0.3608092,0.4521996,0.0385260,-0.1221640,51,mandel-agol_geometric_transit_model,1,9.3390000e+00,4.070e+03,5.027e+03,1.504e+01,6.630e+02,50,4.749e+02,1.23400e+02,0.7486000,0.160200,5.57e+02,2,,11111111111111111000000000000000,5529.00,4.46,-0.480,0.834,PHO1,KIC0,KIC0,DSEP,8.445e+00,1.027e+01,-2.8350e+00,0.69350,3.4270000e-01,1.4810e+01,9.0930000e-01,2.7610000e-01,1.07500000e+01,19.503454,37.421041,-3.6020000e-01,-6.1020000e-01,1.1300000e-04,-1.5870000e-04,-1.59220000e+00,-8.81910000e-01,1.82020000e+00,0,0,0,-6.56630000e-01,-1.49300000e+00,1.6310000,0,0,0,81.4640,14.0549,4.4810,86.8361,7.1814,5.9825,PC,PC,1.73701969700000e-13,1.00075900e+01,-5.1701900000e-01,1.47883800e+00
44,2439243,1,q1_q17_dr24_tce,15-JAN-2015,002/002439/002439243/dv/kplr002439243-001-20141002224145_dvs.pdf,002/002439/002439243/dv/kplr002439243-20141002224145_dvr.pdf,26.020400,154.527,2.45499e+06,3.11832500000e-02,40.8905990,89.530,3.3720000e-01,4.7370,1.6100000e-01,1.1490000e+03,0,0,claret_nonlinear_limb_darkening_model_2011,0.4852024,0.1588864,0.3107304,-0.2122936,42,mandel-agol_geometric_transit_model,1,2.2530000e+01,1.533e+03,1.853e+03,2.681e+01,5.460e+02,41,3.220e+02,6.18300e+01,3.0590000,0.171600,5.86e+02,1,,00011111111111111000000000000000,5806.00,4.53,-0.040,0.899,KIC0,KIC0,KIC0,DSEP,5.663e+00,2.247e+01,-2.5800e+00,0.75410,4.7810000e-01,2.9800e+01,1.0030000e+00,1.1480000e-01,5.61070000e+00,19.364936,37.766419,-1.3290000e+00,-6.5250000e-01,-8.9600000e-04,1.2560000e-04,1.29660000e-01,-7.33130000e-03,1.29870000e-01,0,0,0,1.01670000e-02,-2.23430000e-01,0.2236600,0,0,0,99.6148,0.3618,0.0234,99.7786,0.2214,0.0000,PC,PC,1.97934044310000e-99,7.52477500e+00,-5.0750950000e-02,1.06571200e+00
66,2854698,1,q1_q17_dr24_tce,15-JAN-2015,002/002854/002854698/dv/kplr002854698-001-20141002224145_dvs.pdf,002/002854/002854698/dv/kplr002854698-20141002224145_dvr.pdf,8.187360,138.061,2.45497e+06,2.13353140000e-02,19.8176190,88.960,3.5830000e-01,3.0190,7.2130000e-02,5.4940000e+02,0,0,claret_nonlinear_limb_darkening_model_2011,0.6165232,-0.4226448,1.1062036,-0.5060664,166,mandel-agol_geometric_transit_model,1,4.5520000e+01,3.975e+03,4.716e+03,5.821e+01,2.119e+03,162,2.917e+03,5.05100e+02,1.9770000,0.074430,7.82e+02,2,,11111111111111111000000000000000,5251.00,4.49,0.000,0.849,SPE58,SPE58,SPE58,DSEP,1.155e+01,4.317e+01,-3.4440e+00,0.67760,1.2530000e-06,6.3710e+01,1.0540000e+00,7.9770000e-02,1.35450000e+01,19.461737,38.014057,2.2780000e-01,-2.2690000e-01,-1.5360000e-04,-1.9130000e-04,3.33290000e-02,1.01470000e-01,1.06800000e-01,0,0,0,-4.86560000e-02,-1.01970000e-01,0.1129900,0,0,0,97.4109,2.3887,0.2004,99.0209,0.7144,0.2648,PC,PC,0.00000000000000e+00,7.51547100e+00,-6.4462260000e-02,1.06628300e+00
67,2854698,2,q1_q17_dr24_tce,15-JAN-2015,002/002854/002854698/dv/kplr002854698-002-20141002224145_dvs.pdf,002/002854/002854698/dv/kplr002854698-20141002224145_dvr.pdf,76.051000,161.706,2.45499e+06,1.82032810000e-02,86.1324350,89.850,2.2980000e-01,6.6910,1.2620000e-01,4.0980000e+02,0,0,claret_nonlinear_limb_darkening_model_2011,0.6165232,-0.4226448,1.1062036,-0.5060664,19,mandel-agol_geometric_transit_model,1,1.4030000e+01,9.661e+02,1.123e+03,2.254e+01,2.470e+02,18,3.067e+02,1.31500e+02,1.6860000,0.328900,3.72e+02,2,,11111111111111111000000000000000,5251.00,4.49,0.000,0.849,SPE58,SPE58,SPE58,DSEP,5.820e+00,1.243e+01,-3.7520e+00,0.66900,8.4740000e-02,1.8570e+01,1.1290000e+00,3.0200000e-01,2.23530000e+01,19.461771,38.013906,1.6820000e+00,-7.7210000e-01,-7.1060000e-04,8.0830000e-05,-3.44870000e-01,-7.86710000e-02,3.53730000e-01,0,0,0,-3.30590000e-01,-2.89710000e-01,0.4395700,0,0,0,96.2916,3.5330,0.1754,98.5585,1.0679,0.3736,PC,PC,5.52480734360000e-31,7.56258600e+00,-2.8389330000e-01,1.10366900e+00
68,2854914,1,q1_q17_dr24_tce,15-JAN-2015,002/002854/002854914/dv/kplr002854914-001-20141002224145_dvs.pdf,002/002854/002854914/dv/kplr002854914-20141002224145_dvr.pdf,25.934100,149.761,2.45498e+06,2.14435300000e-02,23.4681890,87.920,8.5020000e-01,4.7790,3.4390000e-01,4.2170000e+02,0,0,claret_nonlinear_limb_darkening_model_2011,0.4684784,0.2807074,0.1159470,-0.1286606,51,mandel-agol_geometric_transit_model,1,3.6340000e+01,1.931e+03,2.361e+03,4.202e+01,6.500e+02,49,4.487e+02,1.50000e+02,2.8660000,0.174900,6.95e+02,2,,11111111111111111000000000000000,5952.00,4.29,0.060,1.225,SPE59,SPE59,SPE59,DSEP,1.020e+01,3.490e+01,-2.9070e+00,0.66910,3.4420000e-01,5.2160e+01,1.0410000e+00,8.3300000e-02,6.58560000e+00,19.465072,38.054759,-2.3590000e-01,-1.1540000e+00,-1.0780000e-04,-1.7520000e-04,-1.04440000e-01,1.35230000e-01,1.70870000e-01,0,0,0,-2.82630000e-01,-6.89540000e-02,0.2909200,0,0,0,99.4146,0.5320,0.0534,99.7821,0.2178,0.0001,PC,PC,4.55549778870000e-242,7.43819700e+00,-3.8352120000e-02,1.05225100e+00
69,2854914,2,q1_q17_dr24_tce,15-JAN-2015,002/002854/002854914/dv/kplr002854914-002-20141002224145_dvs.pdf,002/002854/002854914/dv/kplr002854914-20141002224145_dvr.pdf,83.446300,158.682,2.45499e+06,2.18098190000e-02,70.2762640,89.420,7.1510000e-01,6.6210,2.8300000e-01,4.9200000e+02,0,0,claret_nonlinear_limb_darkening_model_2011,0.4684784,0.2807074,0.1159470,-0.1286606,17,mandel-agol_geometric_transit_model,1,2.8780000e+01,9.232e+02,1.087e+03,3.793e+01,2.210e+02,16,1.771e+02,2.87400e+01,2.9150000,0.381100,4.71e+02,2,,11111111111111111000000000000000,5952.00,4.29,0.060,1.225,SPE59,SPE59,SPE59,DSEP,8.581e+00,2.841e+01,-3.2200e+00,0.68640,2.0370000e-01,4.1380e+01,1.0130000e+00,1.1330000e-01,3.53860000e+01,19.465083,38.054959,2.2480000e-01,-4.3450000e-01,-3.5260000e-04,-5.5860000e-04,-1.09370000e-01,2.53780000e-02,1.12280000e-01,0,0,0,-2.54370000e-01,-1.84360000e-01,0.3141500,0,0,0,98.4139,1.5096,0.0765,99.4827,0.4780,0.0394,PC,PC,6.41835335260000e-161,7.40031300e+00,-1.0106770000e-01,1.05562800e+00
83,2857607,1,q1_q17_dr24_tce,15-JAN-2015,002/002857/002857607/dv/kplr002857607-001-20141002224145_dvs.pdf,002/002857/002857607/dv/kplr002857607-20141002224145_dvr.pdf,41.866800,147.006,2.45498e+06,1.16272480000e-02,54.8081130,89.700,2.8960000e-01,5.6560,7.0890000e-02,1.5970000e+02,0,0,claret_nonlinear_limb_darkening_model_2011,0.3785120,0.5070912,-0.1253888,-0.0433128,31,mandel-agol_geometric_transit_model,1,1.1400000e+01,1.405e+03,1.627e+03,1.500e+01,4.030e+02,30,2.621e+02,8.75400e+01,1.0680000,0.230400,4.95e+02,1,,11111111111111111000000000000000,5864.00,4.56,-0.280,0.842,PHO1,KIC0,KIC0,DSEP,1.246e+01,1.092e+01,-3.0960e+00,0.66490,5.1590000e-01,1.6420e+01,1.0440000e+00,2.8350000e-01,7.41760000e+00,19.500945,38.022129,-1.4210000e+00,2.5020000e-01,2.3720000e-04,-9.5940000e-05,-1.19900000e+00,-1.75490000e-01,1.21180000e+00,0,0,0,-1.09060000e+00,-3.52590000e-01,1.1462000,0,0,0,97.4424,2.5195,0.0381,99.2468,0.7532,0.0000,PC,PC,2.51801110160000e-22,7.92721800e+00,-5.3872120000e-01,1.18779000e+00
109,2975770,1,q1_q17_dr24_tce,15-JAN-2015,002/002975/002975770/dv/kplr002975770-001-20141002224145_dvs.pdf,002/002975/002975770/dv/kplr002975770-20141002224145_dvr.pdf,71.525400,191.691,2.45502e+06,7.01317420000e-02,92.4855630,89.780,3.5160000e-01,5.9720,4.4260000e-01,6.0920000e+03,0,0,claret_nonlinear_limb_darkening_model_2011,0.7004602,-0.7283312,1.4181760,-0.5555552,8,mandel-agol_geometric_transit_model,1,1.1450000e+02,4.622e+02,4.447e+02,1.788e+02,1.040e+02,7,1.503e+02,1.27500e+02,6.2370000,0.311200,3.46e+02,2,,00110011001100110000000000000000,4850.00,4.51,0.260,0.815,KIC0,KIC0,KIC0,DSEP,5.672e+01,1.238e+02,-3.2220e+00,0.63690,2.7440000e+00,1.9440e+02,9.2440000e-01,2.6020000e-02,2.86510000e+01,19.182500,38.114538,-1.8300000e-01,-7.9970000e-02,1.0770000e-03,1.6990000e-03,-2.33600000e-02,-5.04720000e-02,5.56160000e-02,0,0,0,1.72970000e-02,9.99360000e-02,0.1014200,0,0,0,89.6557,9.9324,0.4119,94.0644,4.7332,1.2024,PC,PC,0.00000000000000e+00,7.01178000e+00,6.5437800000e-02,9.79123900e-01
