@relation tce_features-weka.filters.unsupervised.instance.Randomize-S42

@attribute tce_period numeric
@attribute tce_time0bk numeric
@attribute tce_ror numeric
@attribute tce_dor numeric
@attribute tce_incl numeric
@attribute tce_impact numeric
@attribute tce_duration numeric
@attribute tce_ingress numeric
@attribute tce_depth numeric
@attribute tce_ldm_coeff1 numeric
@attribute tce_ldm_coeff2 numeric
@attribute tce_ldm_coeff3 numeric
@attribute tce_ldm_coeff4 numeric
@attribute tce_num_transits numeric
@attribute tce_full_conv numeric
@attribute tce_model_snr numeric
@attribute tce_model_chisq numeric
@attribute tce_model_dof numeric
@attribute tce_robstat numeric
@attribute tce_dof1 numeric
@attribute tce_dof2 numeric
@attribute tce_chisq1 numeric
@attribute tce_chisq2 numeric
@attribute tce_prad numeric
@attribute tce_sma numeric
@attribute tce_eqt numeric
@attribute tce_nkoi numeric
@attribute tce_steff numeric
@attribute tce_slogg numeric
@attribute tce_smet numeric
@attribute tce_sradius numeric
@attribute tce_max_sngle_ev numeric
@attribute tce_max_mult_ev numeric
@attribute tce_minmes numeric
@attribute tce_mesmad numeric
@attribute tce_bin_oedp_stat numeric
@attribute tce_rmesmad numeric
@attribute tce_rsnrmes numeric
@attribute tce_rminmes numeric
@attribute tce_fwm_stat numeric
@attribute tce_fwm_sra numeric
@attribute tce_fwm_sdec numeric
@attribute tce_fwm_srao numeric
@attribute tce_fwm_sdeco numeric
@attribute tce_fwm_prao numeric
@attribute tce_fwm_pdeco numeric
@attribute tce_dicco_mra numeric
@attribute tce_dicco_mdec numeric
@attribute tce_dicco_msky numeric
@attribute tce_dikco_mra numeric
@attribute tce_dikco_mdec numeric
@attribute tce_dikco_msky numeric
@attribute av_training_set {PC,AFP,NTP}

@data
2.62679,133.339,0.005701,2.087959,71.33,0.6683,7.223,0.07365,34.17,0.363672,0.854877,-0.856774,0.298236,512,1,10.3,28010,34090,11,6422,493,6431,1076,1.099,0.04274,2080,0,7326,4.12,-0.12,1.767,5.107,8.826,-8.858,4.355,0.04674,2.026,1.167,1.004,11.962,19.483674,38.319619,1.347,0.2837,-0.000056,-0.000019,-0.12614,0.40807,0.42712,-0.31187,0.44174,0.54074,AFP
2.09456,132.593,0.002836,1.139036,36.36,0.9173,5.693,0.1,7.096,0.5872,0.048409,-0.016648,-0.010838,646,1,10.3,30250,34350,12.44,8242,633,7342,1656,0.6483,0.04213,2980,0,9589,4.15,0.07,2.095,3.555,9.199,-6.013,1.833,0.005905,5.018,1.119,0.6537,18.318,19.864519,40.70362,2.945,-0.3958,-0.000022,0.000005,-0.31402,0.23465,0.392,-0.32509,0.46182,0.56477,AFP
10.2171,131.987,0.46863,15.396005,86.65,0.8996,5.885,5.441,121400,0.444349,0.346204,0.040376,-0.098834,131,1,6758,10350,6728,15150,1690,129,8571000,56150,68.99,0.09345,994,1,5931,4.2,0,1.349,1223,9155,-4.062,0.853,1.184,10730,0.7382,0.000444,387640,19.945771,40.501456,-0.5809,-0.8784,-0.1846,-0.1319,0.091836,0.065953,0.11306,-0.064503,0.14244,0.15636,AFP
2.64828,131.718,0.026497,7.928424,84.93,0.7,1.916,0.09468,730.8,0.651577,-0.479258,1.134034,-0.48992,111,1,35.63,1646,2030,34.36,1430,109,3482,343.7,34.2,0.05231,3340,1,5039,2.73,0.07,11.83,6.263,33.9,-3.229,0.932,0.01583,36.37,1.051,0.09526,11.005,19.539583,37.514392,0.3423,-0.4261,-0.000254,0.000094,0.9253,-0.54973,1.0763,0.95307,-0.51084,1.0813,AFP
2.31174,132.325,0.00558,2.030597,75.75,0.5,7.588,0.05603,33.99,0.582302,0.067083,-0.030564,-0.006079,453,1,10,26340,31450,13.57,5720,439,7759,1361,1.631,0.04609,3180,1,9451,3.97,0.07,2.679,9.096,9.032,-5.363,1.762,0.1142,5.125,1.107,0.5938,25.677,18.990267,40.208806,0.1103,0.8504,-0.000041,0.000046,1.6233,-3.0198,3.4285,0.11453,-0.013699,0.11535,AFP
0.701304,131.765,0.006648,3.778538,81.9,0.5321,1.212,0.01113,48.28,0.312026,0.946344,-0.89684,0.308009,1901,1,12.59,22850,27900,13.98,24490,1883,26360,3621,0.9778,0.01673,2680,0,6762,4.28,-0.16,1.348,6.477,12.46,-7.24,1.624,0.2011,7.67,1.011,0.5812,4.7646,19.518572,40.795868,-0.9696,0.855,0.000038,-0.000031,-4.1311,-6.1842,7.4371,-4.0822,-6.1453,7.3776,AFP
0.596172,131.92,0.010162,2.930237,84.12,0.3,1.499,0.01656,117.4,0.44601,0.46118,-0.308258,0.057473,2248,1,3.66,27330,32960,11.16,28950,2226,27600,3180,2.177,0.017,3830,0,8090,4.12,0.07,1.963,6.136,13.83,-13.07,7.265,0,1.904,0.2646,0.9448,6.2622,19.532012,38.367739,0.04936,0.04875,-0.000011,-0.000024,-0.39329,1.0653,1.1356,-0.37209,1.232,1.2869,AFP
0.560294,131.802,0.010547,3.134251,84.29,0.3117,1.313,0.01516,125.4,0.44454,0.718487,-0.790947,0.290568,1758,1,9.662,18740,21960,11.25,19080,1467,20580,1643,2.105,0.01577,3620,0,7622,4.13,0.02,1.829,3.829,9.504,-9.183,2.861,0.02818,3.322,1.017,0.9661,42.18,19.452666,38.823272,0.5706,-0.5691,-0.000082,0.000051,0.091426,0.18322,0.20477,0.17322,0.043739,0.17865,AFP
0.734105,132.092,0.012936,1.442678,60.97,0.7,2.846,0.07042,173.3,0.405996,0.820536,-0.893386,0.328454,1519,1,12.26,16270,22970,10.31,23400,1799,30180,3351,2.514,0.01852,3220,0,7452,4.13,-0.06,1.781,4.235,9.419,-6.527,1.936,0,4.865,1.302,0.693,0.90853,19.48079,38.356356,-0.2425,0.1306,0.000007,0.000009,0.20364,-0.14986,0.25284,0.1251,-0.059038,0.13833,AFP
2.22968,133.479,0.011845,3.418003,88.32,0.1,5.018,0.05933,165.6,0.455741,0.069894,0.422609,-0.281482,606,1,19.89,14710,20060,23.61,7709,592,7481,1137,4.848,0.042,3210,0,7693,3.59,-0.26,3.751,3.668,15.78,-9.216,2.397,0,6.584,1.26,0.5839,10.923,19.474147,39.4581,0.1435,0.0369,-0.000009,-0.000035,-0.10071,0.18373,0.20952,-0.082738,0.20499,0.22105,AFP
