@relation tce_features-weka.filters.unsupervised.attribute.Remove-R40-52-weka.filters.unsupervised.instance.Randomize-S42

@attribute tce_period numeric
@attribute tce_time0bk numeric
@attribute tce_ror numeric
@attribute tce_dor numeric
@attribute tce_incl numeric
@attribute tce_impact numeric
@attribute tce_duration numeric
@attribute tce_ingress numeric
@attribute tce_depth numeric
@attribute tce_ldm_coeff1 numeric
@attribute tce_ldm_coeff2 numeric
@attribute tce_ldm_coeff3 numeric
@attribute tce_ldm_coeff4 numeric
@attribute tce_num_transits numeric
@attribute tce_full_conv numeric
@attribute tce_model_snr numeric
@attribute tce_model_chisq numeric
@attribute tce_model_dof numeric
@attribute tce_robstat numeric
@attribute tce_dof1 numeric
@attribute tce_dof2 numeric
@attribute tce_chisq1 numeric
@attribute tce_chisq2 numeric
@attribute tce_prad numeric
@attribute tce_sma numeric
@attribute tce_eqt numeric
@attribute tce_nkoi numeric
@attribute tce_steff numeric
@attribute tce_slogg numeric
@attribute tce_smet numeric
@attribute tce_sradius numeric
@attribute tce_max_sngle_ev numeric
@attribute tce_max_mult_ev numeric
@attribute tce_minmes numeric
@attribute tce_mesmad numeric
@attribute tce_bin_oedp_stat numeric
@attribute tce_rmesmad numeric
@attribute tce_rsnrmes numeric
@attribute tce_rminmes numeric
@attribute av_training_set {PC,AFP,NTP}

@data
8.37688,137.637,0.00625,4.336227,88.21,0.1352,14.72,0.0931,46.05,0.277493,0.946547,-0.795916,0.249622,165,1,9.339,18960,22280,20.52,2054,157,2268,1400,0.9228,0.08203,1140,0,6344,4.2,-0.32,1.353,4.413,9.117,-9.449,2.676,0.2192,3.407,1.024,1.036,AFP
0.996861,131.6,0.006645,5.631641,82.79,0.7073,0.9686,0.01271,45.02,0.42249,0.21002,0.364503,-0.251067,1332,1,10.7,16470,19630,8.922,17170,1320,16450,2217,0.5671,0.01771,1590,1,5418,4.52,-0.42,0.782,5.55,8.666,-2.431,0.8069,0.00014,10.74,1.234,0.2806,AFP
1.20804,131.979,0.005979,2.323419,89.99,0.000509,3.996,0.02375,41.57,0.327531,0.979693,-1.008743,0.361928,898,1,11.5,25310,27760,15.55,11340,871,17120,2180,1.312,0.02558,2810,0,7177,4.02,-0.16,2.01,5.35,10.43,-4.496,1.169,1.283,8.928,1.102,0.4309,AFP
0.997371,132.043,0.009245,1.931717,75.09,0.497,3.465,0.04202,94.89,0.274605,1.051403,-1.022685,0.35593,1342,1,10.75,33890,43620,14.37,17210,1323,40440,4682,1.312,0.02107,2380,0,6861,4.31,-0.26,1.3,7.314,11.35,-11.68,7.28,2.815,1.56,0.9468,1.029,AFP
63.6815,145.971,0.415438,45.791808,89.87,0.1,15,4.436,325000,0,0,0,0,0,0,-1,-1,-1,12600,247,18,3789000,88950,47.78,0.3106,486,1,5979,4.39,-0.14,1.054,2944,9281,-650,2.985,0,3110,-0.000108,0.07003,AFP
0.866355,131.626,0.006046,4.046882,84.62,0.3794,1.524,0.01069,41.92,0.384897,0.623118,-0.387266,0.083764,1232,1,10.12,15330,18490,11.84,15780,1213,21530,2500,0.7462,0.01827,2170,1,6241,4.37,-0.06,1.131,10.07,9.649,-3.502,1.272,8.205,7.584,1.048,0.3629,AFP
0.591352,131.522,0.009199,1.670326,89.65,0.01033,2.729,0.02488,98.23,0.453564,0.5576,-0.516564,0.169941,2266,1,17.53,28030,38130,14.68,28940,2225,25860,1443,2.808,0.01722,4330,0,7698,3.83,-0.06,2.797,3.307,15.38,-3.321,0.9408,0,16.35,1.14,0.2159,AFP
9.84809,136.8,0.011179,22.161024,88.87,0.4363,3.097,0.04218,146.4,0.444918,0.087085,0.548362,-0.323843,135,1,9.095,3189,3877,9.594,1729,132,962,172.9,0.9124,0.08051,711,2,5289,4.55,-0.44,0.748,5.311,8.498,-2.876,0.7452,0.02045,11.4,1.07,0.3384,AFP
174.77,172.472,0.363315,567.90075,89.91,0.9254,2.354,2.253,68920,0.410682,0.347056,0.121432,-0.148563,9,1,437.1,285,194,643.7,117,8,18460,484.8,31.8,0.5863,294,1,5693,4.57,-0.3,0.802,205.1,503.7,-6.609,0.6903,0,729.6,0.8678,0.01312,AFP
3.0918,132.227,0.003875,2.752694,87.92,0.1,8.571,0.03341,17.57,0.320543,0.934826,-0.89331,0.309195,438,1,8.745,20610,24260,30.72,5486,421,16800,10250,0.6655,0.04573,1750,0,6774,4.17,-0.14,1.574,3.675,10.27,-11.5,3.628,0,2.831,0.8513,1.12,AFP
