@relation tce_half-weka.filters.unsupervised.attribute.Remove-R40-52-weka.filters.unsupervised.instance.Randomize-S42

@attribute tce_period numeric
@attribute tce_time0bk numeric
@attribute tce_ror numeric
@attribute tce_dor numeric
@attribute tce_incl numeric
@attribute tce_impact numeric
@attribute tce_duration numeric
@attribute tce_ingress numeric
@attribute tce_depth numeric
@attribute tce_ldm_coeff1 numeric
@attribute tce_ldm_coeff2 numeric
@attribute tce_ldm_coeff3 numeric
@attribute tce_ldm_coeff4 numeric
@attribute tce_num_transits numeric
@attribute tce_full_conv numeric
@attribute tce_model_snr numeric
@attribute tce_model_chisq numeric
@attribute tce_model_dof numeric
@attribute tce_robstat numeric
@attribute tce_dof1 numeric
@attribute tce_dof2 numeric
@attribute tce_chisq1 numeric
@attribute tce_chisq2 numeric
@attribute tce_prad numeric
@attribute tce_sma numeric
@attribute tce_eqt numeric
@attribute tce_nkoi numeric
@attribute tce_steff numeric
@attribute tce_slogg numeric
@attribute tce_smet numeric
@attribute tce_sradius numeric
@attribute tce_max_sngle_ev numeric
@attribute tce_max_mult_ev numeric
@attribute tce_minmes numeric
@attribute tce_mesmad numeric
@attribute tce_bin_oedp_stat numeric
@attribute tce_rmesmad numeric
@attribute tce_rsnrmes numeric
@attribute tce_rminmes numeric
@attribute av_training_set {PC,AFP,NTP}

@data
1.32105,132.002,0.010071,1.055745,21.4,0.9829,2.223,0.5234,69.48,0.51086,0.388919,-0.317668,0.09799,1011,1,13.7,32380,42040,19.7,12920,993,28090,2899,4.44,0.03097,3800,0,7543,3.58,0.07,4.04,4.855,12.83,-10.64,9.043,0.03639,1.419,1.068,0.8291,AFP
1.2538,132.448,0.004478,3.488768,86.31,0.2248,2.688,0.01262,23.33,0.428283,0.681052,-0.611276,0.199594,1076,1,9.775,23480,28330,10.15,13650,1049,16680,1698,0.8626,0.02594,2440,0,6718,4.12,0.18,1.765,6.475,10.59,-5.997,3.306,0.3289,3.204,0.9228,0.5661,AFP
0.895559,131.612,0.004073,3.131509,80.47,0.5186,1.878,0.01041,18.26,0.268821,1.072063,-1.051318,0.367478,1451,1,9.962,14030,14660,10.13,13430,1032,13880,2046,0.604,0.01967,2530,0,6897,4.27,-0.28,1.359,5.782,8.634,-5.65,2.374,0.006804,3.637,1.154,0.6544,AFP
1.83105,133.123,0.009729,4.201059,83.83,0.4516,3.007,0.03631,106,0.401078,0.786443,-0.780522,0.273173,587,1,9.122,13510,17210,16.48,7475,574,14850,2068,1.81,0.03339,2200,0,6979,4.14,0.04,1.705,4.496,11.2,-11.04,3.217,0.007716,3.482,0.8144,0.9853,AFP
1.70334,132.467,0.007585,7.103179,88.27,0.2146,1.803,0.01423,67.66,0.313157,0.76227,-0.488564,0.109392,788,1,16.23,11640,13790,18.76,10050,772,7020,1170,0.745,0.02736,1520,1,6022,4.5,-0.36,0.9,5.6,16.37,-2.275,0.9011,0.9913,18.16,0.9915,0.139,AFP
0.566772,131.831,0.006418,1.629407,64.35,0.7054,1.907,0.02406,42.68,0.442887,0.425834,-0.118373,-0.02876,2360,1,9.166,36130,43720,13.25,30120,2316,28510,2965,0.7452,0.01404,2370,0,6167,4.44,0.07,1.064,5.488,10.6,-2.619,0.9572,0.02585,11.08,0.8643,0.247,NTP
2.65013,131.802,0.002593,2.280803,86,0.1591,8.787,0.02331,7.742,0.492848,0.607344,-0.685523,0.256821,509,1,8.576,34060,41170,10.88,6435,494,6700,1093,0.5673,0.04511,2230,0,7571,4.08,0.1,2.005,3.09,7.63,-9.657,2.402,0.000003,3.176,1.124,1.266,NTP
1.10611,131.908,0.006067,2.307468,83.65,0.2552,3.564,0.02298,42.53,0.244386,1.111959,-1.076138,0.375359,795,1,12.16,20740,23700,15.54,9204,707,27770,3751,0.9428,0.0223,2400,0,6796,4.21,-0.38,1.424,3.894,9.673,-8.429,5.065,0.1847,1.91,1.257,0.8713,NTP
1.00305,131.667,0.01521,4.004249,79.93,0.7002,1.407,0.04077,238.8,0.247551,1.021489,-0.869852,0.281297,1339,1,21.12,15260,19560,21.32,17060,1311,21480,1691,3.597,0.02068,2800,0,6202,3.83,-0.38,2.167,6.801,18.22,-17.74,8.623,0.03902,2.113,1.159,0.9733,NTP
204.029,253.54,0.5,222.17142,89.97,0.1,10.5,3.525,471900,0.502446,0.01192,0.556676,-0.31507,0,0,-1,-1,-1,3841,65,4,838900,36940,44.14,0.6518,273,1,5551,4.57,-0.16,0.809,2001,3081,-362.4,0.7585,0,4062,-0.000325,0.1176,AFP
1.59262,132.336,0.021768,1.394384,47.48,0.9425,3.444,0.5682,325.8,0.648807,-0.660302,1.364502,-0.522507,841,1,27.54,24290,28890,30.74,10800,830,19410,1887,1.537,0.02321,1050,1,4504,4.63,-0.2,0.647,5.969,24.95,-6.363,2.801,0.2473,8.909,1.104,0.255,AFP
0.556525,131.578,0.003009,1.065675,41.24,0.8014,2.406,0.02007,8.711,0.471506,0.088974,0.481666,-0.290976,1927,1,7.444,38910,46910,10.66,24650,1895,34690,2868,0.2994,0.01223,2100,0,5504,4.41,-0.26,0.912,13.89,7.419,-4.896,1.838,0.03482,4.037,1.003,0.66,NTP
17.5119,134.397,0.021522,25.296791,89.8,0.08874,5.382,0.1143,631.8,0.88067,-1.126399,1.662523,-0.485911,64,1,156.4,5153,3083,439.1,819,62,11350,5178,49.06,0.1308,2250,1,4029,1.79,0.3,20.89,58.16,188,-108.8,0.7406,0.406,253.8,0.8321,0.5787,AFP
3.56462,131.862,0.403754,7.411854,82.67,0.9461,3.81,4.581,80350,0.258662,0.889963,-0.612225,0.154868,342,1,1209,67320,10610,2855,4355,334,1691000,877300,39.3,0.04272,1190,1,5891,4.45,-0.56,0.892,345.2,2792,-2.662,0.5956,5.943,4688,0.4328,0.000953,AFP
1.05489,131.679,0.003466,3.381763,87.58,0.1428,2.367,0.008346,13.84,0.494736,0.543039,-0.555608,0.189797,1268,1,15.47,22320,28880,13.51,16200,1245,25220,2502,0.7202,0.02468,3000,0,7737,4.13,0.21,1.904,23,18.8,-14.67,4.983,0.0678,3.773,0.8227,0.78,AFP
0.737973,131.884,0.006997,2.01726,89.84,0.005566,2.814,0.01956,57.37,0.440832,0.418362,-0.202112,0.014503,1305,1,9.174,18140,19490,10.56,9685,744,13580,1343,2.078,0.01944,3830,0,7331,3.82,-0.14,2.722,3.253,7.133,-6.518,1.654,0.009398,4.313,1.286,0.9138,AFP
2.08608,133.416,0.067028,3.704606,75.46,0.9303,2.248,0.7863,3581,0.167226,1.204083,-1.046344,0.338384,639,1,678,35190,11110,1461,8112,623,402700,387700,6.795,0.03013,1500,1,6129,4.42,-0.74,0.929,152.1,1416,-16.39,1.21,1.207,1170,0.4787,0.01158,AFP
0.892084,131.805,0.058125,2.928927,71.71,0.9192,1.219,0.3435,2623,0.497436,0.032222,0.527726,-0.302688,1197,1,42.2,65520,15030,296.6,15040,1156,584200,2595000,5.423,0.0173,1720,1,5561,4.51,-0.16,0.855,304.5,1350,-138.6,7.579,0.000318,178.1,0.03126,0.1027,NTP
8.11763,132.422,0.008521,4.016453,83.35,0.4651,13.82,0.1486,82.28,0.319996,0.793478,-0.576748,0.156559,168,1,14.09,18260,22040,125.9,2093,160,7409,11200,1.245,0.08026,1120,0,6201,4.2,-0.22,1.339,14.24,18.15,-7.165,1.143,0.03475,15.89,0.7759,0.3947,NTP
1.80016,132.679,0.005733,2.348187,87.55,0.1002,5.861,0.03374,38.52,0.252315,1.072139,-1.006545,0.34476,746,1,9.928,32790,40470,16.31,9464,727,32240,5328,0.9127,0.0302,2030,0,6634,4.16,-0.36,1.459,9.136,8.766,-5.763,3.865,0.01516,2.268,1.133,0.6575,NTP
